7:302,58,616,29,518,650,736,542,866,564,
18:17,518,616,542,564,650,654,1196,1086,787,
19:17,302,654,76,616,58,866,84,650,81,
36:17,654,616,58,84,29,76,650,518,354,
37:17,1,2,3,4,5,6,7,8,616,
41:17,302,654,616,58,101,542,29,76,650,
42:17,302,58,654,518,84,76,542,564,650,
43:17,302,654,226,616,84,76,138,58,354,
44:302,616,84,1,2,3,4,5,6,861,
45:76,564,17,650,302,616,32,364,224,654,
46:302,616,58,1102,650,736,866,861,1196,947,
59:654,616,58,29,1102,76,354,650,542,138,
60:302,58,616,84,29,1102,650,518,138,542,
69:302,654,58,29,650,76,354,564,101,289,
70:302,654,84,58,616,354,1102,650,518,736,
94:17,616,654,302,58,84,564,32,650,76,
106:84,29,1,2,3,4,5,6,7,8,
115:58,1,2,3,4,5,6,7,8,29,
116:17,76,302,654,226,616,564,70,58,508,
142:58,84,1,2,3,4,5,6,7,8,
143:394,483,3231,591,5746,15754,5662,9547,45649,70938,
148:17,616,302,654,58,76,650,564,518,542,
150:17,302,654,650,861,736,1102,1196,787,902,
156:302,58,616,84,1102,354,650,542,736,866,
161:616,84,29,76,650,542,301,138,289,101,
171:302,84,1,2,3,4,5,6,7,8,
172:654,58,84,1102,736,861,866,787,902,899,
174:11194,1822,493,699,749,2097,578,2428,4275,7059,
177:17,654,58,616,29,84,650,76,1102,542,
196:616,29,76,650,354,542,736,289,101,15,
202:302,58,1,2,3,4,5,6,7,8,
211:17,873,1,2,3,4,5,6,7,8,
217:17,616,654,302,58,518,542,564,650,322,
220:4032,10178,429,861,1822,7243,186,17,302,83884,
223:302,654,616,58,84,518,354,650,1102,564,
224:4797,353,518,1951,245,17,654,616,508,601,
225:302,654,616,58,84,518,1102,542,736,564,
228:17,302,361,654,616,58,76,29,84,354,
229:58,84,518,1102,736,15,101,861,866,787,
231:302,654,616,58,84,1102,354,518,542,866,
232:736,190,3505,10236,7258,7752,29848,59541,20596,23961,
238:17,616,1,2,3,4,5,6,7,8,
241:58,616,84,29,1102,650,76,518,354,542,
245:81,262,16786,650,508,780,5767,3137,3939,17,
249:17,302,654,616,84,58,29,76,518,301,
250:302,654,616,58,84,518,354,1102,564,542,
253:17,616,302,654,58,650,542,564,518,508,
257:17,84,542,1102,354,15,138,861,554,508,
272:654,58,616,29,1102,650,736,866,899,861,
273:17,302,654,76,650,101,15,354,736,289,
288:17,616,58,84,29,76,650,1102,354,15,
290:17,302,654,616,226,138,84,58,76,650,
291:17,84,518,302,616,654,58,1102,101,650,
292:654,616,58,76,542,138,301,289,564,70,
294:17,302,1,2,3,4,5,6,7,8,
328:302,654,84,58,616,1102,354,650,518,736,
331:17,302,654,616,58,84,542,650,1102,861,
345:1754,77581,385,805,11281,39936,62840,11401,3250,16881,
361:58,616,29,650,736,861,899,787,902,1196,
376:17,302,58,616,29,84,1102,354,650,76,
384:17,616,654,302,650,1102,1196,787,902,1140,
401:616,58,29,1102,650,354,542,138,301,15,
402:302,654,84,1102,736,861,866,787,1196,902,
410:17,616,302,76,654,58,84,518,542,650,
448:302,654,616,58,84,518,650,354,1102,542,
449:17,302,616,654,58,650,518,736,354,787,
450:302,654,84,76,29,15,1102,354,138,301,
452:17,616,302,518,13523,58,861,542,564,654,
476:17,616,1405,654,245,70,1023,302,518,65,
488:17,302,616,58,518,29,1102,76,542,354,
490:17,302,29,76,650,15,101,354,289,138,
494:17,654,616,58,29,84,564,542,518,1102,
500:17,302,616,654,58,76,650,84,564,518,
514:17,616,302,654,58,650,564,542,518,508,
525:302,654,616,84,58,29,518,650,354,1102,
535:17,29,1,2,3,4,5,6,7,8,
536:302,654,616,58,84,518,354,1102,650,736,
538:302,654,616,58,1102,29,354,76,650,301,
539:17,654,58,29,84,564,518,542,1102,354,
564:84,1,2,3,4,5,6,7,8,76,
582:616,84,29,76,1102,518,354,138,301,736,
585:17,654,302,84,616,58,29,70,76,301,
590:654,29,1,2,3,4,5,6,7,8,
601:226,18245,27912,31717,48912,67228,69110,75023,90054,90819,
618:17,302,654,616,226,76,58,650,138,564,
624:17,1,2,3,4,5,6,7,8,508,
627:5512,4671,9594,6475,38620,11539,1077,1131,1109,815,
628:17,76,58,84,518,542,354,1102,508,138,
632:17,1,2,3,4,5,6,7,8,654,
633:302,654,58,84,518,650,1102,354,564,736,
634:17,780,76,58,302,262,226,616,654,70,
646:17,302,654,76,58,616,354,29,84,70,
666:911,11590,1337,10981,5975,3034,25145,30490,533,40086,
667:17,302,616,654,58,76,84,564,518,542,
